"Longitude (x)","Latitude (y)","Station Name","Climate ID","Month","Day","Average Max. Temp. (°C)","Average Min. Temp. (°C)","Frequency of Precip. (%)","Highest Temp. (°C)","Highest Temp.Year","Highest Temp. Period","Highest Temp. Data Quality","Lowest Temp. (°C)","Lowest Temp. Year","Lowest Temp. Period","Lowest Temp. Data Quality","Greatest Precip. (mm)","Greatest Precip. Year","Greatest Precip. Period","Greatest Precip. Data Quality","Greatest Rainfall (mm)","Greatest Rainfall Year","Greatest Rainfall Period","Greatest Rainfall Data Quality","Greatest Snowfall (cm)","Greatest Snowfall Year","Greatest Snowfall Period","Greatest Snowfall Data Quality","Most Snow on the Ground (cm)","Most Snow on the Ground Year","Most Snow on the Ground Period","Most Snow on the Ground Data Quality"
"-114.02","51.11","CALGARY INT'L A","3031093","4","17","11.8","-1.7","30.0","26.7","1923","1885-2012","","-15.6","1953","1885-2012","","14.0","1979","1885-2012","","7.6","1978","1885-2012","","13.5","1951","1885-2012","","12","2011","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","18","12.0","-1.5","30.0","27.2","1936","1885-2012","","-17.8","1951","1885-2012","","30.5","1955","1885-2012","","9.9","1925","1885-2012","","30.5","1955","1885-2012","","14","1987","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","19","12.2","-1.3","30.0","26.7","1910","1885-2012","","-20.6","1927","1885-2012","","12.7","1985","1885-2012","","6.7","1984","1885-2012","","12.4","1985","1885-2012","","20","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","20","12.4","-1.2","30.0","27.2","1934","1885-2012","","-17.2","1927","1885-2012","","29.8","1999","1885-2012","","28.8","1999","1885-2012","","10.8","2007","1885-2012","","18","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","21","12.6","-1.0","30.0","26.1","1906","1885-2012","","-16.1","1967","1885-2012","","45.7","1932","1885-2012","","14.2","1999","1885-2012","","45.7","1932","1885-2012","","10","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","22","12.8","-0.8","30.0","25.6","1906","1885-2012","","-12.8","1927","1885-2012","","21.3","1932","1885-2012","","21.3","1932","1885-2012","","12.7","1937","1885-2012","","11","2008","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","23","13.0","-0.6","30.0","25.8","2012","1885-2012","","-8.9","1972","1885-2012","","20.8","1907","1885-2012","","10.2","1953","1885-2012","","20.8","1907","1885-2012","","7","2008","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","24","13.2","-0.4","30.0","28.3","1910","1885-2012","","-17.2","1959","1885-2012","","23.3","1983","1885-2012","","23.3","1983","1885-2012","","18.4","2010","1885-2012","","15","1959","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","25","13.3","-0.3","30.0","28.9","1910","1885-2012","","-18.3","1959","1885-2012","","24.3","2003","1885-2012","","24.3","2003","1885-2012","","22.9","1966","1885-2012","","15","1960","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","26","13.5","-0.1","30.0","26.1","1923","1885-2012","","-11.7","1954","1885-2012","","29.5","1974","1885-2012","","29.5","1974","1885-2012","","32.2","2003","1885-2012","","15","1966","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","27","13.7","0.2","30.0","27.7","1987","1885-2012","","-13.9","1966","1885-2012","","13.7","1974","1885-2012","","9.9","1953","1885-2012","","17.8","1970","1885-2012","","33","1966","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","28","13.8","0.4","30.0","28.3","1926","1885-2012","","-16.7","1966","1885-2012","","18.8","1978","1885-2012","","18.8","1978","1885-2012","","7.6","1990","1885-2012","","28","1966","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","29","14.0","0.5","30.0","29.4","1926","1885-2012","","-18.9","1966","1885-2012","","13.7","1953","1885-2012","","12.7","1895","1885-2012","","10.7","1929","1885-2012","","25","1966","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","4","30","14.2","0.7","30.0","25.6","1941","1885-2012","","-17.8","1954","1885-2012","","37.1","1912","1885-2012","","37.1","1912","1885-2012","","17.8","1886","1885-2012","","20","1966","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","1","14.3","0.8","36.0","25.6","1890","1885-2012","","-16.7","1954","1885-2012","","25.7","1902","1885-2012","","24.4","2012","1885-2012","","25.4","1902","1885-2012","","20","1966","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","2","14.4","0.9","36.0","27.8","1924","1885-2012","","-13.3","1954","1885-2012","","58.4","1902","1885-2012","","15.2","1902","1885-2012","","43.2","1902","1885-2012","","13","1966","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","3","14.6","1.1","36.0","26.7","1897","1885-2012","","-11.1","1899","1885-2012","","37.0","2007","1885-2012","","37.0","2007","1885-2012","","11.2","1963","1885-2012","","10","1963","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","4","14.7","1.2","36.0","28.3","1944","1885-2012","","-6.1","1950","1885-2012","","19.4","1986","1885-2012","","19.4","1986","1885-2012","","8.6","1975","1885-2012","","10","1963","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","5","14.9","1.4","36.0","28.3","1911","1885-2012","","-7.8","1906","1885-2012","","21.4","2012","1885-2012","","17.1","1977","1885-2012","","12.6","2012","1885-2012","","5","1959","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","6","15.0","1.6","36.0","27.8","1891","1885-2012","","-6.7","1907","1885-2012","","51.8","1981","1885-2012","","24.8","1995","1885-2012","","48.4","1981","1885-2012","","10","1981","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","7","15.2","1.7","36.0","29.1","1987","1885-2012","","-7.8","1885","1885-2012","","29.7","1948","1885-2012","","29.7","1948","1885-2012","","19.2","1982","1885-2012","","22","2002","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","8","15.3","1.9","36.0","28.0","1987","1885-2012","","-8.9","1885","1885-2012","","24.6","1948","1885-2012","","13.0","1913","1885-2012","","17.8","1948","1885-2012","","19","1982","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","9","15.5","2.1","36.0","27.8","1906","1885-2012","","-7.8","1968","1885-2012","","23.4","1943","1885-2012","","20.1","1947","1885-2012","","11.9","1943","1885-2012","","7","1982","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","10","15.6","2.2","36.0","27.8","1906","1885-2012","","-12.2","1968","1885-2012","","34.0","1886","1885-2012","","34.0","1886","1885-2012","","9.1","1910","1885-2012","","8","1967","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","11","15.7","2.4","36.0","29.1","1993","1885-2012","","-6.5","1999","1885-2012","","34.8","1909","1885-2012","","30.0","1954","1885-2012","","20.8","1909","1885-2012","","5","2004","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","12","15.9","2.5","36.0","29.3","1993","1885-2012","","-10.0","1899","1885-2012","","28.2","1991","1885-2012","","28.2","1991","1885-2012","","3.8","1946","1885-2012","","6","2004","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","13","16.0","2.7","36.0","27.8","1931","1885-2012","","-5.6","1886","1885-2012","","26.4","1911","1885-2012","","26.4","1911","1885-2012","","14.4","1986","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","14","16.1","2.9","36.0","31.7","1924","1885-2012","","-5.0","1943","1885-2012","","23.4","1932","1885-2012","","23.4","1932","1885-2012","","14.4","1986","1885-2012","","6","1986","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","15","16.3","3.0","36.0","30.6","1924","1885-2012","","-7.8","1929","1885-2012","","16.3","1955","1885-2012","","14.2","1977","1885-2012","","12.7","1955","1885-2012","","17","1986","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","16","16.4","3.2","36.0","29.8","2008","1885-2012","","-3.9","1899","1885-2012","","40.6","1894","1885-2012","","40.6","1894","1885-2012","","4.1","1909","1885-2012","","8","1986","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","17","16.6","3.3","36.0","30.9","2006","1885-2012","","-3.3","1942","1885-2012","","48.3","1903","1885-2012","","38.6","1945","1885-2012","","48.3","1903","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","18","16.7","3.5","36.0","29.4","1925","1885-2012","","-4.4","1965","1885-2012","","65.0","1902","1885-2012","","65.0","1902","1885-2012","","19.1","1903","1885-2012","","2","1977","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","19","16.8","3.6","36.0","31.1","1919","1885-2012","","-5.1","2003","1885-2012","","24.9","1899","1885-2012","","24.9","1899","1885-2012","","5.1","1903","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","20","17.0","3.8","36.0","31.1","1897","1885-2012","","-4.8","1987","1885-2012","","30.0","1976","1885-2012","","30.0","1976","1885-2012","","27.8","1997","1885-2012","","5","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","21","17.1","3.9","36.0","30.6","1928","1885-2012","","-5.0","1903","1885-2012","","30.0","1948","1885-2012","","30.0","1948","1885-2012","","20.3","1906","1885-2012","","20","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","22","17.2","4.1","36.0","31.1","1919","1885-2012","","-4.4","1931","1885-2012","","22.4","1998","1885-2012","","22.4","1998","1885-2012","","15.2","1911","1885-2012","","4","1997","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","23","17.4","4.2","36.0","29.4","1941","1885-2012","","-3.3","1960","1885-2012","","38.2","1980","1885-2012","","38.2","1980","1885-2012","","35.6","1911","1885-2012","","2","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","24","17.5","4.4","36.0","28.9","1928","1885-2012","","-2.3","2002","1885-2012","","29.4","1990","1885-2012","","29.4","1990","1885-2012","","8.4","2007","1885-2012","","7","2007","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","25","17.6","4.5","36.0","32.2","1928","1885-2012","","-5.0","1918","1885-2012","","38.1","1894","1885-2012","","38.1","1894","1885-2012","","20.1","1941","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","26","17.8","4.7","36.0","31.7","1928","1885-2012","","-3.3","1918","1885-2012","","32.0","1923","1885-2012","","32.0","1923","1885-2012","","2.8","1959","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","27","17.9","4.9","36.0","30.0","1936","1885-2012","","-2.2","1921","1885-2012","","30.0","2010","1885-2012","","28.6","2010","1885-2012","","1.4","2010","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","28","18.0","5.0","36.0","31.7","1986","1885-2012","","-5.0","1947","1885-2012","","40.6","1946","1885-2012","","40.6","1946","1885-2012","","7.4","1951","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","29","18.2","5.1","36.0","30.0","1934","1885-2012","","-2.2","1895","1885-2012","","23.6","1952","1885-2012","","23.6","1952","1885-2012","","11.8","2010","1885-2012","","2","2010","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","30","18.3","5.3","36.0","32.4","1986","1885-2012","","-3.3","1917","1885-2012","","31.8","1899","1885-2012","","31.8","1899","1885-2012","","0.0","1885","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","5","31","18.4","5.4","36.0","31.1","1956","1885-2012","","-3.9","1890","1885-2012","","23.9","1923","1885-2012","","23.9","1923","1885-2012","","0.0","1885","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","1","18.5","5.6","46.0","32.1","1986","1882-2012","","-2.8","1919","1882-2012","","79.2","1932","1885-2012","","79.2","1932","1885-2012","","0.0","1885","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","2","18.7","5.7","46.0","31.1","1970","1882-2012","","-2.2","1951","1882-2012","","26.0","2002","1885-2012","","26.0","2002","1885-2012","","15.2","1910","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","3","18.8","5.9","46.0","32.2","1922","1882-2012","","-1.7","1887","1882-2012","","17.3","1888","1885-2012","","17.3","1888","1885-2012","","0.0","1885","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","4","18.9","6.0","46.0","32.8","1970","1882-2012","","-0.6","1914","1882-2012","","43.7","1934","1885-2012","","43.7","1934","1885-2012","","10.2","1944","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","5","19.0","6.2","46.0","30.6","1961","1882-2012","","-2.2","1888","1882-2012","","72.4","2007","1885-2012","","72.4","2007","1885-2012","","15.5","1951","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","6","19.2","6.3","46.0","30.0","1961","1882-2012","","-1.7","1912","1882-2012","","53.3","1885","1885-2012","","53.3","1885","1885-2012","","24.9","1951","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","7","19.3","6.4","46.0","33.1","1977","1882-2012","","-1.1","1900","1882-2012","","77.2","1928","1885-2012","","77.2","1928","1885-2012","","5.1","1938","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","8","19.4","6.5","46.0","31.1","1948","1882-2012","","-3.3","1891","1882-2012","","29.2","1900","1885-2012","","29.2","1900","1885-2012","","0.0","1885","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","9","19.5","6.7","46.0","30.0","1918","1882-2012","","-1.7","1950","1882-2012","","36.1","1927","1885-2012","","36.1","1927","1885-2012","","1.0","1958","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","10","19.6","6.8","46.0","32.2","1918","1882-2012","","0.0","1894","1882-2012","","32.3","1925","1885-2012","","32.3","1925","1885-2012","","5.1","1967","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","11","19.7","6.9","46.0","30.6","1910","1882-2012","","-0.6","1969","1882-2012","","42.0","1997","1885-2012","","42.0","1997","1885-2012","","2.8","1969","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","12","19.9","7.0","46.0","31.1","1959","1882-2012","","-1.7","1969","1882-2012","","38.2","1993","1885-2012","","38.2","1993","1885-2012","","6.1","1901","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","13","20.0","7.1","46.0","32.2","1918","1882-2012","","-2.8","1969","1882-2012","","75.9","1970","1885-2012","","75.9","1970","1885-2012","","0.3","1976","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","14","20.1","7.3","46.0","33.3","1933","1882-2012","","0.0","1889","1882-2012","","33.4","1992","1885-2012","","33.4","1992","1885-2012","","0.0","1885","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","15","20.2","7.4","46.0","33.3","1933","1882-2012","","0.0","1905","1882-2012","","56.9","1905","1885-2012","","49.3","1905","1885-2012","","7.6","1905","1885-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","16","20.3","7.5","46.0","33.3","1961","1882-2012","","-0.8","1994","1882-2012","","43.2","1939","1882-2012","","43.2","1939","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","17","20.4","7.6","46.0","31.7","1914","1882-2012","","1.7","1902","1882-2012","","29.5","1897","1882-2012","","29.5","1897","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","18","20.5","7.7","46.0","32.2","1969","1882-2012","","1.1","1902","1882-2012","","30.4","1996","1882-2012","","30.4","1996","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","19","20.6","7.8","46.0","32.8","1919","1882-2012","","-1.1","1902","1882-2012","","51.1","1926","1882-2012","","51.1","1926","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","20","20.7","7.9","46.0","34.4","1919","1882-2012","","-1.7","1902","1882-2012","","35.1","1964","1882-2012","","35.1","1964","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","21","20.9","8.0","46.0","34.4","1919","1882-2012","","1.1","1892","1882-2012","","30.5","1923","1882-2012","","30.5","1923","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","22","21.0","8.1","46.0","33.3","1919","1882-2012","","0.0","1894","1882-2012","","42.7","1963","1882-2012","","42.7","1963","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","23","21.1","8.2","46.0","34.4","1936","1882-2012","","0.6","1967","1882-2012","","24.6","1972","1882-2012","","24.6","1972","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","24","21.2","8.2","46.0","31.1","1912","1882-2012","","0.0","1889","1882-2012","","72.6","1901","1882-2012","","72.6","1901","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","25","21.3","8.3","46.0","31.7","1912","1882-2012","","0.6","1889","1882-2012","","31.2","1999","1882-2012","","31.2","1999","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","26","21.4","8.4","46.0","35.0","1926","1882-2012","","0.0","1951","1882-2012","","57.2","1959","1882-2012","","57.2","1959","1882-2012","","6.4","1951","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","27","21.5","8.5","46.0","33.5","2002","1882-2012","","0.0","1905","1882-2012","","30.0","1886","1882-2012","","30.0","1886","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","28","21.6","8.6","46.0","32.8","1937","1885-2012","","1.1","1894","1885-2012","","28.4","1969","1882-2012","","28.4","1969","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","29","21.6","8.6","46.0","34.4","1896","1885-2012","","2.2","1951","1885-2012","","55.1","1986","1882-2012","","55.1","1986","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","6","30","21.7","8.7","46.0","33.3","1892","1882-2012","","1.7","1899","1882-2012","","23.4","1912","1882-2012","","23.4","1912","1882-2012","","0.0","1882","1882-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","1","21.8","8.8","42.0","32.8","1924","1884-2012","","2.2","1900","1884-2012","","25.9","1955","1884-2012","","25.9","1955","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","2","21.9","8.8","42.0","33.3","1924","1884-2012","","3.3","1972","1884-2012","","54.9","1966","1884-2012","","54.9","1966","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","3","22.0","8.9","42.0","33.9","1914","1884-2012","","2.2","1912","1884-2012","","40.1","1964","1884-2012","","40.1","1964","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","4","22.1","9.0","42.0","32.8","1914","1884-2012","","2.2","1900","1884-2012","","53.6","1998","1884-2012","","53.6","1998","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","5","22.2","9.0","42.0","35.0","1896","1884-2012","","-0.6","1884","1884-2012","","34.0","1920","1884-2012","","34.0","1920","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","6","22.3","9.1","42.0","34.4","1896","1884-2012","","1.1","1971","1884-2012","","43.7","1909","1884-2012","","43.7","1909","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","7","22.4","9.1","42.0","33.9","1896","1884-2012","","2.2","1891","1884-2012","","25.7","1922","1884-2012","","25.7","1922","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","8","22.4","9.2","42.0","31.7","1886","1884-2012","","2.8","1974","1884-2012","","18.3","1963","1884-2012","","18.3","1963","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","9","22.5","9.2","42.0","32.8","1905","1884-2012","","1.7","1935","1884-2012","","23.6","2000","1884-2012","","23.6","2000","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","10","22.6","9.3","42.0","34.0","1985","1884-2012","","1.1","1885","1884-2012","","21.4","1989","1884-2012","","21.4","1989","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","11","22.6","9.3","42.0","34.4","1898","1884-2012","","0.0","1943","1884-2012","","55.1","1942","1884-2012","","55.1","1942","1884-2012","","0.0","1884","1884-2012","","0","1955","1955-2012",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","12","22.7","9.3","42.0","34.4","1886","1884-2011","","0.6","1887","1884-2011","","38.4","1920","1884-2011","","38.4","1920","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","13","22.8","9.4","42.0","34.2","2002","1884-2011","","3.3","1887","1884-2011","","19.0","2010","1884-2011","","19.0","2010","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","14","22.8","9.4","42.0","35.0","1961","1884-2011","","0.6","1912","1884-2011","","32.0","1999","1884-2011","","32.0","1999","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","15","22.9","9.5","42.0","36.1","1919","1884-2011","","2.5","1999","1884-2011","","95.3","1927","1884-2011","","95.3","1927","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","16","22.9","9.5","42.0","35.0","1919","1884-2011","","1.2","1999","1884-2011","","25.4","1908","1884-2011","","25.4","1908","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","17","23.0","9.5","42.0","34.4","1919","1884-2011","","3.0","1999","1884-2011","","33.5","1895","1884-2011","","33.5","1895","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","18","23.1","9.5","42.0","35.0","1941","1884-2011","","0.0","1885","1884-2011","","43.7","1952","1884-2011","","43.7","1952","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","19","23.1","9.6","42.0","34.4","1918","1884-2011","","2.2","1904","1884-2011","","39.6","2011","1884-2011","","39.6","2011","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","20","23.2","9.6","42.0","35.0","1921","1884-2011","","2.2","1911","1884-2011","","39.9","1968","1884-2011","","39.9","1968","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","21","23.2","9.6","42.0","34.3","1979","1884-2011","","4.1","1990","1884-2011","","40.6","1965","1884-2011","","40.6","1965","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","22","23.2","9.6","42.0","35.6","1936","1884-2011","","2.8","1889","1884-2011","","21.6","1987","1884-2011","","21.6","1987","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","23","23.3","9.6","42.0","34.4","1936","1884-2011","","1.1","1896","1884-2011","","38.1","1888","1884-2011","","38.1","1888","1884-2011","","0.3","1918","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","24","23.3","9.7","42.0","33.9","1890","1884-2011","","1.1","1904","1884-2011","","19.8","1981","1884-2011","","19.8","1981","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","25","23.3","9.7","42.0","36.1","1933","1884-2011","","0.0","1918","1884-2011","","29.5","1956","1884-2011","","29.5","1956","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","26","23.4","9.7","42.0","35.3","1984","1884-2011","","3.3","1894","1884-2011","","20.3","1901","1884-2011","","20.3","1901","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","27","23.4","9.7","42.0","33.9","1975","1884-2011","","1.1","1892","1884-2011","","25.9","1959","1884-2011","","25.9","1959","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","28","23.4","9.7","42.0","34.4","1939","1884-2011","","1.7","1926","1884-2011","","39.6","1924","1884-2011","","39.6","1924","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","29","23.5","9.7","42.0","34.4","1934","1884-2011","","1.7","1899","1884-2011","","67.6","1950","1884-2011","","67.6","1950","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","30","23.5","9.7","42.0","33.3","1914","1884-2011","","2.2","1917","1884-2011","","18.8","1944","1884-2011","","18.8","1944","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","7","31","23.5","9.7","42.0","34.4","1914","1884-2011","","1.1","1917","1884-2011","","50.0","1884","1884-2011","","50.0","1884","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","8","1","23.5","9.7","34.0","34.4","1893","1884-2011","","2.2","1917","1884-2011","","65.0","1988","1884-2011","","65.0","1988","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","8","2","23.5","9.7","34.0","35.0","1922","1884-2011","","2.0","2002","1884-2011","","42.7","1924","1884-2011","","42.7","1924","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
"-114.02","51.11","CALGARY INT'L A","3031093","8","3","23.5","9.7","34.0","35.6","1914","1884-2011","","1.9","2002","1884-2011","","31.0","1903","1884-2011","","31.0","1903","1884-2011","","0.0","1884","1884-2011","","0","1955","1955-2011",""
